study_hours,attendance_rate,previous_grade,final_grade,pass_fail_label
5.61,73.58,90.46,85.37,Pass
2.92,82.1,83.43,72.0,Pass
6.5,98.74,59.21,78.54,Pass
6.88,66.16,47.46,87.7,Pass
1.1,75.06,25.53,56.56,Pass
2.4,87.33,61.85,73.86,Pass
5.26,83.22,100.0,83.59,Pass
4.37,73.49,76.52,81.16,Pass
4.97,76.39,61.61,77.82,Pass
3.29,61.5,76.98,70.32,Pass
6.76,75.14,46.59,83.98,Pass
6.56,74.8,65.54,85.36,Pass
5.13,80.79,71.49,83.99,Pass
7.25,71.34,68.71,88.38,Pass
5.94,83.66,81.86,89.06,Pass
3.28,90.15,75.17,62.65,Pass
5.74,79.87,80.02,84.65,Pass
3.08,82.22,59.67,62.6,Pass
6.76,78.64,83.47,80.22,Pass
4.9,78.0,94.43,96.81,Pass
4.63,69.34,55.45,79.76,Pass
3.64,81.8,56.68,77.17,Pass
7.45,76.83,90.04,95.62,Pass
4.69,100.0,67.13,90.65,Pass
4.14,96.88,91.06,86.42,Pass
4.3,82.63,63.36,74.43,Pass
6.06,68.84,91.83,78.61,Pass
5.73,64.65,71.97,79.43,Pass
5.83,92.29,73.87,86.43,Pass
5.86,81.15,93.47,80.56,Pass
9.28,83.76,64.57,94.36,Pass
4.19,57.06,55.88,61.71,Pass
3.98,89.13,63.27,86.16,Pass
3.37,83.45,76.79,80.33,Pass
6.23,64.67,46.51,69.94,Pass
7.26,72.34,79.56,89.77,Pass
4.77,81.16,61.92,74.37,Pass
3.32,78.63,87.22,74.64,Pass
3.35,74.49,34.09,48.78,Fail
6.3,76.76,58.2,76.81,Pass
6.49,74.98,44.7,68.16,Pass
6.09,79.83,57.61,68.92,Pass
3.67,95.66,73.71,81.49,Pass
5.46,47.2,67.31,71.41,Pass
5.23,75.16,66.2,63.19,Pass
5.44,80.12,67.61,77.68,Pass
6.74,81.55,73.05,93.32,Pass
5.45,73.54,54.87,79.56,Pass
6.36,56.92,80.6,87.17,Pass
5.14,81.94,79.94,82.4,Pass
5.58,98.73,75.78,81.65,Pass
6.26,59.59,78.35,72.02,Pass
2.09,88.37,74.45,71.74,Pass
4.36,74.06,100.0,86.19,Pass
4.06,77.26,68.69,81.28,Pass
3.72,65.37,65.39,73.83,Pass
4.45,73.99,58.7,68.5,Pass
7.99,93.6,54.52,80.01,Pass
3.27,84.99,51.33,62.96,Pass
6.94,98.79,56.67,88.12,Pass
1.63,92.13,68.94,65.22,Pass
4.33,83.27,75.01,73.38,Pass
5.33,98.93,70.77,86.58,Pass
6.17,83.27,58.52,75.86,Pass
6.42,87.94,83.5,86.18,Pass
6.59,74.44,81.09,88.56,Pass
4.3,78.8,67.61,70.56,Pass
4.08,69.63,60.21,68.79,Pass
6.72,89.88,78.23,92.46,Pass
4.62,63.86,72.82,64.06,Pass
2.45,87.39,48.28,58.03,Pass
2.73,75.71,68.98,76.4,Pass
3.16,92.05,73.93,66.63,Pass
5.99,87.01,56.5,64.24,Pass
5.28,99.85,72.85,72.61,Pass
6.38,86.77,48.18,77.9,Pass
4.15,59.14,90.04,74.88,Pass
5.32,77.2,88.72,83.72,Pass
6.25,63.94,66.21,85.11,Pass
4.38,71.78,75.45,55.63,Pass
5.91,96.13,33.85,76.3,Pass
3.68,85.65,52.65,78.49,Pass
4.27,69.61,65.59,61.9,Pass
4.24,65.84,53.92,61.76,Pass
2.61,78.39,80.72,65.45,Pass
5.97,63.4,99.96,80.84,Pass
4.06,69.95,52.35,62.08,Pass
5.02,81.74,57.44,83.72,Pass
5.96,91.86,73.53,99.2,Pass
5.89,85.31,94.17,88.95,Pass
6.33,50.5,51.66,81.16,Pass
4.8,81.65,73.74,78.72,Pass
4.15,78.86,97.32,95.44,Pass
4.84,82.97,45.22,68.4,Pass
1.63,97.39,50.78,62.74,Pass
2.11,53.24,63.65,57.65,Pass
2.35,70.91,62.19,83.18,Pass
3.01,85.09,82.19,80.88,Pass
5.8,59.02,73.62,70.88,Pass
3.19,95.71,43.38,72.07,Pass
4.24,82.42,77.73,75.22,Pass
7.6,88.16,61.34,84.4,Pass
4.29,71.15,89.12,84.9,Pass
6.48,87.77,60.59,82.95,Pass
3.13,90.82,60.45,71.51,Pass
